Id,eigencentrality,betweenesscentrality
Changeling,0.412088,1540.786758
Cipher,0.412088,1508.740486
Creep,0.412088,1502.200461
Crosta,0.412088,1492.84808
Dani Moonstar,0.412088,1492.84808
Deathlok Prime,0.412088,1487.440149
Doop,0.412088,1478.505949
Dr. Kavita Rao,0.412088,1459.777034
Energizer,0.412088,1451.780353
Evan Sabah Nur,0.412088,1451.780353
Eye Boy,0.412088,1451.780353
Face,0.412088,1451.780353
Fiz,0.412088,1451.780353
Genesis,0.412088,1420.260379
Gentle,0.412088,1381.789997
Graymalkin,0.412088,1333.382563
Indra,0.412088,1333.382563
Ink,0.412088,1333.382563
Karasu,0.412088,1319.179143
Kid Gladiator,0.412088,1319.179143
Kymera,0.412088,1319.179143
Legion,0.412088,1311.705038
Luca Aldine,0.412088,1245.280137
Lucid,0.412088,1220.776999
Magnetrix,0.412088,1112.082249
Michaela Ladak,0.412088,1109.059437
Morph,0.412088,1104.127769
Nature Girl,0.412088,1097.035041
Omerta,0.412088,1078.538171
Petra,0.412088,1073.957682
Primal,0.412088,1070.247739
Pulse,0.412088,1068.943028
Red Lotus,0.412088,1060.055029
Revenant,0.412088,1054.283738
Sapna,0.412088,1054.283738
Scorpion Boy,0.412088,1034.594763
Shark-Girl,0.412088,1008.086532
Silent Monk,0.412088,1008.086532
Slipstream,0.412088,1008.086532
Sojobo,0.412088,1008.086532
Squidface,0.412088,1008.086532
Stacy X,0.412088,1008.086532
Sunpyre,0.412088,1008.086532
Sway,0.412088,1008.086532
Thunderbird (John Proudstar),0.412088,1003.524054
Transonic,0.412088,969.133733
Tri-Joey,0.412088,969.133733
Velocidad,0.412088,969.133733
Vulcan,0.412088,969.133733
Warbird,0.412088,950.383471
Wraith,0.412088,942.490619
Xorn Shen,0.412088,933.823424
Zach,0.412088,926.393119
Zero,0.412088,873.289557
Ziggy Karst,0.412088,854.632655
Nova (Richard Rider),0.407845,833.459772
Selene Gallio,0.39828,833.459772
Shinobi Shaw,0.39828,819.781629
Daredevil,0.394747,819.781629
"Hank Pym (Ant-Man, Wasp, Goliath, Yellowjacket, Giant Man)",0.392886,817.176386
US Agent,0.392288,817.176386
Stingray,0.389075,817.176386
Wasp (Janet Van Dyne),0.385389,812.740984
She-Hulk (Jen Walters),0.385157,802.791117
Moondragon,0.381549,786.369473
Valkyrie,0.380839,773.823977
Darkhawk,0.379904,762.92617
Black Panther,0.379164,759.247849
Master Pandemonium,0.378461,754.633358
Hercules,0.376561,742.937905
Hellcat,0.376227,740.016043
Skein,0.375735,740.016043
Baron Helmut Zemo,0.375321,740.016043
Fixer,0.375321,740.016043
Sandman,0.374362,740.016043
Sentry,0.374174,710.355802
Venom,0.373251,706.359945
Medusa,0.369056,675.398734
War Machine,0.367975,675.398734
Doctor Doom,0.366887,671.144446
Echo,0.365835,649.636269
Carnage,0.365416,638.732199
Doctor Druid,0.364543,638.475551
Thunderstrike,0.364543,621.423359
Thor Odinson,0.364387,620.863307
Rage,0.36363,613.68698
Turbo (Mikey Jeffries),0.36363,608.52729
